Emp_ID,Name,Age,Salary_PKR,Experience_Years,City,Department,Performance_Rating
101,Ahmed Khan,27,650000,4,Islamabad,IT,4.5
102,Ayesha Malik,32,,8,Lahore,HR,3.8
103,Bilal Ahmed,45,inf,12,Karachi,Finance,4.9
104,Fatima Noor,29,720000,6,Multan,IT,4.2
105,Usman Ali,26,500000,3,Faisalabad,Sales,
106,Hassan Raza,52,2000000,28,Rawalpindi,Operations,5
107,Maryam Iqbal,inf,3100000,10,Peshawar,IT,4
108,Hamza Tariq,24,-45000,2,Sialkot,Marketing,3.5
109,Sana Javed,48,3000000,30,Karachi,Management,5
110,Omar Farooq,29,720000,6,Multan,IT,4.2
111,Hira Shah,34,820000,9,Quetta,HR,4.3
112,Zain Abbas,37,1100000,15,Islamabad,Finance,4.8
113,Iqra Siddiqui,29,650000,5,Lahore,IT,4.6
114,Saad Hussain,55,5000000,35,Faisalabad,Management,5
115,Maham Khan,23,380000,1,Peshawar,HR,3.9
116,Danish Malik,40,1250000,18,Rawalpindi,Operations,4.7
117,Laiba Aslam,31,750000,7,Sialkot,IT,4.4
118,Usman Siddiq,28,,4,Karachi,IT,3.8
119,Saira Ahmed,27,650000,4,Islamabad,IT,4.5
120,Talha Rauf,36,980000,12,Lahore,Finance,4.9
121,Noman Shah,42,#NAME?,20,Rawalpindi,Operations,4.5
122,Eman Fatima,25,550000,2,Multan,Sales,3.6
123,Fahad Khan,51,4800000,32,Quetta,Management,4.9
124,Anum Tariq,33,770000,8,Peshawar,HR,4.1
125,Ali Raza,22,-30000,0,Islamabad,IT,3.2
126,Kiran Ahmed,29,650000,5,Lahore,IT,4.5
126,Kiran Ahmed,29,650000,5,Lahore,IT,4.5
110,Omar Farooq,29,720000,6,Multan,IT,4.2
103,Bilal Ahmed,45,inf,12,Karachi,Finance,4.9
